Name,Year Founded,Industry,Size Range,Country,Current Employee Estimate
blue point technologies,,information technology and services,1 - 10,greece,0
call a cab limited,,telecommunications,1 - 10,united kingdom,1
nationwide car hire uk ltd,,transportation/trucking/railroad,1 - 10,,0
european biomass association,1992.0,renewables & environment,1 - 10,belgium,1
intermedicas worldwide,2010.0,hospital & health care,11 - 50,romania,7
"mulligan's landscaping and garden center, inc.",1994.0,environmental services,1 - 10,united states,0
crmc,,hospital & health care,1001 - 5000,,945
massinnovation llc,1996.0,real estate,1 - 10,united states,1
fulcrum co.,1985.0,information technology and services,201 - 500,united states,128
"ascend audit & advisory, inc.",2014.0,accounting,1 - 10,united states,2
creeped out customs,2013.0,automotive,1 - 10,united states,1
arlotta multichannel marketing,,marketing and advertising,1 - 10,,0
conselho regional de administração do ceará,,higher education,1 - 10,,1
ascentia wealth pty ltd,,financial services,1 - 10,,1
james tree service,,construction,1 - 10,united states,1
"megalytics, inc.",,financial services,1 - 10,,1
east ridge at cutler bay,1962.0,hospital & health care,11 - 50,united states,14
"317 virtual services, llc",2011.0,telecommunications,1 - 10,united states,5
e-yon,2012.0,wholesale,1 - 10,netherlands,0
osha safety training institute,2009.0,education management,1 - 10,united states,3
alliance residential company,2000.0,real estate,1001 - 5000,united states,1301
orissa industries limited,,electrical/electronic manufacturing,1 - 10,india,0
whos calling,,information technology and services,1 - 10,united states,2
canadian benefits associates inc.,,human resources,1 - 10,,1
mccarron lake chiropractic,2003.0,"health, wellness and fitness",1 - 10,united states,3
vanbee & co. llc,2013.0,marketing and advertising,1 - 10,,1
modways object d art private limited,,information technology and services,1 - 10,,1
"challenge mc - hostesses, promo & eventpeople",2002.0,events services,51 - 200,belgium,41
divy inc.,2015.0,financial services,11 - 50,,6
satrapes srl,2002.0,"leisure, travel & tourism",1 - 10,italy,0
swoppen systems gmbh,,internet,1 - 10,germany,0
energy solution srl,2005.0,oil & energy,11 - 50,italy,6
vida incorporações | realizamos seu sonho de vida,,information technology and services,1 - 10,,1
oliviero abbigliamento s.r.l.,1977.0,retail,51 - 200,italy,28
satrap support,2013.0,information technology and services,11 - 50,,4
access staffing inc.,1997.0,staffing and recruiting,11 - 50,united states,9
craft carpet care,,oil & energy,1 - 10,united states,1
cradaptive,2013.0,information technology and services,1 - 10,nigeria,0
devender kataria & associates,,legal services,1 - 10,,1
the city of cincinnati,,information technology and services,11 - 50,spain,9
the greenhorn company ltd,2008.0,events services,1 - 10,new zealand,1
nicelabel,1993.0,computer software,201 - 500,slovenia,69
asellerator inc.,,information technology and services,11 - 50,,5
b2g - business to group,2009.0,professional training & coaching,1 - 10,brazil,3
the connected table,,marketing and advertising,1 - 10,,2
endeva (nw) cic,2007.0,management consulting,1 - 10,united kingdom,1
everywhere srl,2010.0,information technology and services,11 - 50,italy,7
royal ridge apartments,,real estate,1 - 10,united states,0
creativeone sprl,2008.0,telecommunications,11 - 50,belgium,5
baunova,2017.0,construction,1 - 10,spain,3
pp enterprises,,accounting,1 - 10,united states,2
leads learning and development services,2006.0,human resources,1 - 10,,3
young associates,1993.0,marketing and advertising,1 - 10,united states,1
tracktivity,2013.0,sports,1 - 10,united states,4
reisman & reisman,,law practice,1 - 10,united states,2
bens supermarket limited,,retail,1 - 10,united kingdom,2
wasabi sushi,,food & beverages,11 - 50,,9
metron sa,1995.0,mechanical or industrial engineering,51 - 200,greece,23
pitzil s.a.,2011.0,internet,11 - 50,,6
lynrise ltd,,mechanical or industrial engineering,1 - 10,united kingdom,1
vozlatino,,marketing and advertising,1 - 10,,1
stride tool inc.,1980.0,human resources,11 - 50,united states,21
teamyar,2009.0,computer software,51 - 200,iran,20
mejana recruitment consultancy,2008.0,staffing and recruiting,1 - 10,,1
gp produzioni srl,,events services,1 - 10,italy,2
teleido,,computer software,1 - 10,united states,4
taste in the flat,2016.0,events services,1 - 10,portugal,2
arc-net,2014.0,information technology and services,11 - 50,united kingdom,10
adventure falls golf,,retail,1 - 10,united states,0
apoorva foods - india,,food & beverages,1 - 10,india,1
minford chartered accountants,1990.0,accounting,11 - 50,,11
orbits engineering firm,2004.0,civil engineering,51 - 200,saudi arabia,44
tay&lexi clothing,,apparel & fashion,1 - 10,,2
gbc infotech pvt. ltd,2008.0,information technology and services,1 - 10,india,2
sonia coelho design,,retail,1 - 10,,2
boys & girls clubs of san dieguito,1966.0,non-profit organization management,11 - 50,united states,11
khaled jabboury m.d.p.a,,hospital & health care,1 - 10,united states,0
marlton auto parts inc,,automotive,1 - 10,united states,0
"any comunicação - assessoria, consultoria e social media",,transportation/trucking/railroad,1 - 10,,1
northern insulation contractors llp,1981.0,environmental services,11 - 50,united kingdom,10
mediacom consulting - pr and communications agency,2001.0,media production,1 - 10,,0
frontsite lyd & event,,events services,1 - 10,,1
miami-dade gay & lesbian chamber of commerce,1999.0,professional training & coaching,1 - 10,united states,4
se adapta - soluciones gráficas,2012.0,graphic design,1 - 10,chile,0
inland real estate sales inc,,marketing and advertising,1 - 10,united states,0
ddcatgroup,,telecommunications,1 - 10,,3
hard rock hotel ibiza,2014.0,hospitality,51 - 200,spain,66
novelec,,electrical/electronic manufacturing,11 - 50,,12
renaissance chicago downtown hotel,,hospitality,11 - 50,united states,22
spring reach nursery limited,,consumer services,1 - 10,,0
"curran & associates cpa's, p.c.",2013.0,accounting,1 - 10,united states,4
pro light & sound pty ltd,1989.0,events services,11 - 50,australia,7
landskap paisaje y medio ambiente,,environmental services,1 - 10,,1
quanteon solutions,2015.0,information technology and services,11 - 50,india,6
hallmark pool & spa world,,construction,1 - 10,,0
comparific ab,,computer software,1 - 10,,2
clothing connect b.v.,2009.0,apparel & fashion,1 - 10,netherlands,3
equence technologies pvt ltd,,telecommunications,1 - 10,india,2
functional fitness health & wellbeing,,"health, wellness and fitness",1 - 10,,1
co.art s.r.l.,2008.0,graphic design,11 - 50,italy,4
tiro group,1969.0,staffing and recruiting,1 - 10,united states,1
spence photographics,,photography,1 - 10,,2
kimberlys global realestate,,real estate,1 - 10,united states,5
lithuanian hall,,publishing,1 - 10,united states,0
parsian,,marketing and advertising,1 - 10,belgium,2
big surf water park,,human resources,1 - 10,united states,2
d'place entertainment,2015.0,entertainment,1 - 10,united states,1
tot traveler,,"leisure, travel & tourism",1 - 10,united states,1
karate usa family martial arts academy,,sports,1 - 10,,3
mindstorm,2014.0,marketing and advertising,11 - 50,india,7
lz films,2009.0,media production,1 - 10,,3
j.c. mitchell,,insurance,1 - 10,,3
nova oratório ferramentas,1991.0,retail,1 - 10,,1
konstans kommunikation ab,,management consulting,1 - 10,sweden,1
fascetti associati,2013.0,marketing and advertising,11 - 50,italy,7
bosch uk,1898.0,mechanical or industrial engineering,51 - 200,united kingdom,50
angelical tears llc,2007.0,entertainment,1 - 10,united states,3
13tv,,marketing and advertising,51 - 200,,43
davis municipal golf course,,events services,1 - 10,united states,0
magical massage,,"health, wellness and fitness",1 - 10,united states,1
intech soluções em tecnologia,2016.0,information technology and services,1 - 10,brazil,1
rural cellular corporation,,telecommunications,1 - 10,united states,0
sparta electric inc,,construction,1 - 10,united states,1
carbrain,2016.0,automotive,1 - 10,united states,3
eberhardt aziatische kunst b.v.,,accounting,1 - 10,netherlands,0
technic electronic corporation - india,,electrical/electronic manufacturing,1 - 10,india,2
zumo studio,2007.0,graphic design,1 - 10,colombia,2
the purple hearts group,2012.0,management consulting,1 - 10,,2
fornituras l.mora,1988.0,apparel & fashion,1 - 10,spain,3
itc - inteligent telecom certification,2015.0,telecommunications,1 - 10,,3
global digital wealth,,marketing and advertising,1 - 10,united states,0
trainz group,2017.0,"leisure, travel & tourism",1 - 10,,2
ca (india) technologies private limited cn,,information technology and services,1 - 10,,1
cherkasy it cluster,,information technology and services,1 - 10,,1
"brick media consulting group, llc",2016.0,media production,1 - 10,united states,1
omkar solutions,,human resources,1 - 10,united states,3
nck partners,,electrical/electronic manufacturing,11 - 50,united states,11
the ceo magazine,2012.0,publishing,11 - 50,united states,21
"carney badley spellman, p.s.",,law practice,51 - 200,united states,55
techbean systems pvt. ltd.,2011.0,information technology and services,11 - 50,,8
earth legacy inc.,2010.0,environmental services,1 - 10,canada,2
southern electrical contractors ltd,,electrical/electronic manufacturing,1 - 10,,1
fasset technologies,2014.0,information technology and services,1 - 10,united kingdom,0
automax service,2011.0,automotive,1 - 10,,3
auum inc.,2006.0,"health, wellness and fitness",1 - 10,canada,4
sigma embedded engineering,2015.0,information technology and services,201 - 500,sweden,68
live oak realty,,real estate,1 - 10,,2
black cherry marketing,2013.0,marketing and advertising,1 - 10,,0
vousys,2003.0,information technology and services,1 - 10,argentina,0
countrywide conveyancing services,,legal services,11 - 50,,13
paul bunyan transit,,transportation/trucking/railroad,1 - 10,united states,3
animal protection of new mexico,1979.0,non-profit organization management,1 - 10,united states,5
image marketing concepts,1996.0,marketing and advertising,1 - 10,united states,0
dasa international movers,,transportation/trucking/railroad,1 - 10,,2
würth timberline fasteners,1923.0,wholesale,11 - 50,united states,23
heart4heartuw chapter,,non-profit organization management,1 - 10,,3
sfr property professionals,,real estate,1 - 10,australia,1
tower consulting group,2011.0,management consulting,11 - 50,peru,4
think office l brand strategy & design,2012.0,marketing and advertising,1 - 10,,3
cocked hat farm foods ltd,,food & beverages,1 - 10,,1
z groupe,,internet,1 - 10,,1
talenio,2016.0,staffing and recruiting,1 - 10,united arab emirates,0
debris,2015.0,music,1 - 10,,1
whitney communication corporation,,publishing,1 - 10,united states,0
koninklijke nederlandse munt,,mechanical or industrial engineering,51 - 200,netherlands,34
bastour travel srl,2013.0,hospitality,1 - 10,romania,2
red mountain advertising & pr,2011.0,public relations and communications,1 - 10,united kingdom,0
strawberry coaching,,management consulting,1 - 10,,1
webfluence consulting social media & internet marketing,2009.0,marketing and advertising,1 - 10,,0
crossfit blacksburg,2009.0,"health, wellness and fitness",1 - 10,united states,3
sans a_,2013.0,internet,11 - 50,france,7
smart cards,,financial services,1 - 10,united states,4
eco divers dredger company (edd co. ) ، شرکت غواصان زیست لایروب,2015.0,environmental services,1 - 10,iran,2
timberland financial group,2009.0,financial services,1 - 10,united states,2
